year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2014,1,2,1,620,620,3,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,2,2,200,920,998,0,8,5,1,0,0,0,0,0,2,0,2,0,0,0,9,6,,,
2014,1,4,1,700,700,1,2,9,25,3,7010,9998,1,5,99,1,700,998,998,99,1,3,2,995,700,1,2,4,1,0,0,0,0,0,1,5,1,1,1,0,5,5,,,
2014,1,5,1,60,60,1,2,9,5,99,9999,9998,1,2,0,1,999,999,998,99,1,1,101,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2014,1,5,2,60,60,3,2,9,5,99,9999,9998,1,2,0,1,999,999,998,99,1,1,996,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2014,1,10,1,432,432,2,2,9,21,99,9999,9999,9,99,99,9,999,999,999,99,3,2,483,996,998,0,8,4,1,3,0,3,0,3,0,0,0,0,0,0,4,6,,,
2014,1,15,1,471,471,2,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,6,2,475,471,998,0,8,7,1,5,0,999,0,0,1,0,999,0,0,0,4,6,,,
2014,1,15,2,700,700,9,2,9,11,99,9999,9998,1,1,99,1,999,998,998,99,1,1,995,998,998,0,8,4,1,0,0,0,0,0,1,0,1,0,1,0,9,6,,,
2014,1,17,1,700,700,2,2,9,25,9,7010,9998,1,3,0,2,700,998,998,99,999,9,2,20,200,2,5,7,1,999,0,0,0,0,21,3,13,2,3,0,5,6,,,
2014,1,17,2,620,620,2,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,1,325,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2014,1,18,1,678,678,4,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,1,630,998,998,0,8,2,1,0,0,0,0,0,1,0,1,0,1,0,4,6,,,
