year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2005,1,5,1,663,663,9,2,9,17,2,6630,9998,1,2,0,1,663,998,998,99,4,1,2,998,998,4,5,7,1,0,0,0,0,0,0,0,0,0,0,0,4,1,,,
2005,1,5,2,645,645,2,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,2,220,645,998,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,1,13,1,645,645,2,2,9,1,99,9999,9999,9,10,99,9,999,999,999,99,7,2,640,645,998,0,8,5,1,0,0,0,0,0,6,0,0,0,0,0,9,6,,,
2005,1,17,1,645,645,2,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,1,1,652,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,1,18,1,645,645,9,2,9,1,2,6751,9998,1,99,99,1,645,998,998,99,8,1,710,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,1,18,2,484,484,9,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,220,998,998,0,8,7,2,0,0,0,0,0,0,0,0,0,0,1,9,6,,,
2005,1,19,1,645,645,2,2,9,23,99,9999,9999,9,99,99,9,999,999,999,99,4,2,900,998,998,0,8,2,1,2,0,2,0,2,2,0,0,0,0,0,5,6,,,
2005,1,19,2,645,645,4,2,9,1,3,6752,9998,1,99,99,1,645,998,998,99,3,3,140,200,645,0,8,5,1,0,0,0,0,0,2,0,1,0,0,0,9,6,,,
2005,1,20,1,645,645,1,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,999,2,200,645,998,0,8,4,1,999,0,9,0,9,0,0,0,0,0,0,5,6,,,
2005,1,24,1,645,645,2,2,9,11,3,6754,9998,1,99,99,2,663,645,998,99,1,1,651,998,998,0,8,7,1,0,0,0,0,0,1,0,1,0,0,0,2,6,,,
2005,1,29,1,645,645,3,2,9,7,99,9999,9999,9,99,99,9,999,999,999,99,7,1,2,998,998,7,2,4,3,5,0,5,5,5,2,0,2,2,2,9,6,6,,,
2005,1,30,1,690,690,1,2,9,21,2,6904,9998,1,3,99,1,690,998,998,99,6,2,692,690,998,0,8,3,1,5,1,0,0,4,3,1,1,1,1,0,9,5,,,
2005,2,99,1,645,645,9,2,9,1,3,6448,9998,1,99,99,1,645,998,998,99,4,3,360,2,645,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,2,4,1,645,645,2,2,9,1,2,6753,9998,1,99,99,1,645,998,998,99,1,1,325,998,998,0,8,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,2,5,1,645,645,9,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,1,1,651,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,2,15,1,645,645,4,2,9,1,2,6448,9998,9,99,99,1,645,998,998,99,2,1,850,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,2,24,1,484,484,4,2,9,8,3,4844,9998,1,99,99,1,484,998,998,99,21,2,765,996,998,0,8,5,1,11,0,11,0,11,9,0,9,0,9,0,4,6,,,
2005,2,28,1,645,645,1,2,9,24,2,6630,9998,1,1,0,1,663,998,998,99,999,1,645,998,998,0,8,5,3,999,0,0,0,999,126,1,0,0,125,9,5,6,,,
2005,3,7,1,700,700,4,2,9,11,2,7010,9998,1,99,99,1,700,998,998,99,1,1,200,998,998,0,8,1,1,0,0,0,0,0,1,0,1,0,1,0,9,6,,,
2005,3,9,1,645,645,3,2,9,23,2,6448,9998,1,99,99,1,645,998,998,99,43,2,2,645,998,999,4,1,3,40,0,999,999,0,3,0,0,0,0,9,5,6,,,
2005,3,13,1,645,645,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,5,2,2,645,998,3,4,5,1,1,0,1,1,0,4,0,2,2,0,0,5,6,,,
2005,3,19,1,694,694,2,2,9,25,5,3,9998,1,1,0,1,651,998,998,99,13,4,200,694,531,0,8,7,3,12,0,3,0,0,2,1,1,0,0,9,5,6,,,
2005,3,22,1,625,625,4,2,9,8,2,6250,9998,1,99,99,1,625,998,998,99,1,1,2,998,998,1,5,7,1,1,0,1,1,0,0,0,0,0,0,0,9,6,,,
2005,3,26,1,660,660,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,5,99,997,660,998,0,8,7,1,5,0,3,0,0,0,0,0,0,0,0,5,6,,,
2005,4,1,1,660,660,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,12,2,2,660,998,1,5,7,1,12,0,1,1,0,0,0,0,0,0,9,5,6,,,
2005,4,7,1,651,651,2,2,9,6,3,6503,9998,1,99,99,1,651,998,998,99,20,3,2,220,651,5,5,7,1,17,0,4,4,0,4,1,3,1,0,0,5,6,,,
2005,4,10,1,645,645,2,2,9,1,2,6758,9998,1,99,99,1,645,998,998,99,1,1,770,998,998,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,4,11,1,645,645,3,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,4,13,1,645,645,9,2,9,23,2,6754,9998,1,99,99,1,645,998,998,99,9,2,2,645,998,4,4,5,1,4,0,4,4,0,5,0,0,0,0,0,5,6,,,
2005,4,16,1,645,645,2,2,9,24,99,9999,998,1,1,99,1,999,998,998,99,3,3,2,315,645,1,5,7,1,0,0,0,0,0,4,1,2,1,0,0,5,6,,,
2005,4,16,2,645,645,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,1,840,998,998,0,8,7,1,2,0,2,0,0,0,0,0,0,0,0,9,6,,,
2005,4,21,1,645,645,5,2,9,7,4,6756,9998,1,99,99,1,645,998,998,99,11,3,2,355,950,6,4,5,3,0,0,0,0,0,11,0,11,6,0,4,6,6,,,
2005,4,30,1,651,651,2,2,9,25,4,6503,9998,1,1,0,1,651,998,998,99,7,4,666,380,325,0,8,7,1,7,0,4,0,0,1,1,0,0,0,0,5,6,,,
2005,4,30,2,645,645,2,2,9,1,2,6757,9998,1,99,99,1,645,998,998,99,1,1,800,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,5,,,
2005,5,5,1,365,365,9,2,9,17,99,9999,9999,9,2,99,9,999,999,999,99,2,2,2,365,998,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2005,5,5,2,2,2,3,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,2,2,200,2,998,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2005,5,7,1,775,775,2,2,9,6,2,7750,9998,1,99,99,1,775,998,998,99,999,2,775,800,998,0,8,5,3,999,0,0,0,0,3,0,0,0,0,9,5,6,,,
2005,5,7,2,645,645,4,2,9,24,99,9999,9999,9,2,99,9,999,999,999,99,999,2,2,645,998,5,4,5,3,999,0,3,3,0,24,2,2,2,0,9,5,6,,,
2005,5,8,1,645,645,4,2,9,8,99,6752,9998,1,99,99,1,645,998,998,99,16,99,645,740,999,0,8,3,1,0,0,0,0,0,16,0,4,0,2,0,9,6,,,
2005,5,12,1,484,484,2,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,6,1,996,998,998,0,8,4,1,5,0,5,0,5,1,0,1,0,1,0,9,6,,,
2005,5,16,1,700,700,4,2,9,1,99,9999,9999,9,4,99,9,999,999,999,99,1,1,325,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2005,5,17,1,700,700,2,2,9,8,2,7010,9998,1,99,99,1,700,998,998,99,5,2,700,2,998,1,4,5,1,0,0,0,0,0,5,0,0,0,0,0,9,6,,,
2005,5,19,1,700,700,2,2,9,8,2,7010,9998,1,99,99,1,700,998,998,99,5,2,700,2,998,1,4,5,1,0,0,0,0,0,1,0,0,0,0,0,9,6,,,
2005,5,30,1,700,700,1,2,9,7,99,9999,9999,9,99,99,9,999,999,999,99,1,1,995,998,998,0,8,4,2,0,0,0,0,0,0,0,0,0,0,9,6,6,,,
2005,5,31,1,770,770,3,2,9,5,2,7700,9998,1,99,99,1,770,998,998,99,6,2,770,2,998,1,4,5,3,0,0,0,0,0,6,0,0,0,0,9,5,6,,,
2005,6,1,1,700,700,2,2,9,25,2,6670,9998,1,1,0,1,667,998,998,99,999,1,700,998,998,0,8,7,1,999,0,0,0,0,20,1,0,0,1,0,5,6,,,
2005,6,5,1,435,435,1,2,9,8,2,6160,9998,1,99,99,1,615,998,998,99,24,1,435,998,998,0,8,3,1,0,0,0,0,0,24,0,0,0,24,0,9,6,,,
2005,6,11,1,645,645,3,2,9,24,2,6754,9998,1,1,0,1,645,998,998,99,5,2,317,645,998,0,8,2,3,4,0,0,0,4,1,1,0,0,0,0,5,6,,,
2005,6,12,1,484,484,9,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,999,99,996,999,999,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,6,16,1,475,475,3,2,9,15,99,9999,9998,1,99,99,1,999,998,998,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,6,,,
2005,6,19,1,700,700,4,2,9,11,3,7700,9998,1,3,99,1,770,998,998,99,1,1,2,998,998,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,6,2,,,
2005,6,24,1,850,850,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,710,998,998,0,8,7,1,1,0,1,0,0,0,0,0,0,0,0,9,6,,,
2005,7,99,1,700,700,9,2,9,1,99,9999,999,9,99,99,9,999,999,999,99,1,1,660,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,7,2,1,345,345,3,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,1,1,996,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2005,7,2,2,645,645,4,2,9,1,2,6754,9998,1,99,99,1,645,998,998,99,1,1,651,998,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,7,5,1,645,645,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,770,998,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2005,7,5,2,645,645,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,692,998,998,0,8,2,1,1,0,1,0,1,0,0,0,0,0,0,9,6,,,
2005,7,5,3,645,645,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,1,365,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2005,7,5,4,347,347,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,998,99,347,997,300,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
2005,7,7,1,200,200,7,2,9,6,99,2003,9998,1,1,0,1,200,998,998,99,107,99,200,997,997,999,5,7,3,100,0,999,999,0,7,0,999,0,0,4,5,6,,,
2005,7,7,2,200,200,7,2,9,6,99,2003,9998,1,1,0,1,200,998,998,99,999,99,200,997,997,999,5,7,3,999,0,999,999,0,999,0,999,0,0,4,5,6,,,
2005,7,7,3,200,200,7,2,9,6,99,2003,9998,1,1,0,1,200,998,998,99,999,99,200,290,2,999,5,7,3,999,0,999,999,0,7,0,999,0,0,4,5,6,,,
2005,7,7,4,200,200,4,2,9,6,99,2003,9998,1,1,0,1,200,998,998,99,999,99,200,997,997,999,5,7,3,999,0,999,999,0,13,0,999,0,0,4,5,6,,,
2005,7,10,1,640,640,2,2,9,6,99,6475,6481,2,99,99,1,646,998,998,99,21,99,640,997,999,0,8,7,1,21,0,3,0,0,0,0,0,0,0,0,5,6,,,
2005,7,12,1,660,660,4,2,9,23,99,9999,9999,9,99,99,9,999,999,999,1,14,2,660,70,998,0,8,1,1,13,0,1,0,1,1,0,0,0,0,0,5,6,,,
2005,7,16,1,640,640,4,2,9,25,4,6466,9998,1,1,1,1,646,998,998,99,21,3,200,205,640,0,8,7,3,16,0,5,0,0,6,1,2,0,0,2,5,6,,,
2005,7,21,1,645,645,2,2,9,1,2,6754,9998,1,3,99,1,645,998,998,99,1,1,615,998,998,0,8,2,1,0,0,0,0,0,999,0,999,0,999,0,9,6,,,
2005,7,21,2,200,200,7,2,9,6,99,6389,9998,1,1,0,2,200,645,998,99,1,1,200,998,998,0,8,7,1,1,0,0,0,0,0,0,0,0,0,0,5,4,,,
2005,7,21,3,200,200,7,2,9,6,99,6389,2003,1,1,0,2,200,645,998,99,1,1,200,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,5,4,,,
2005,7,21,4,200,200,7,2,9,6,99,6389,2003,1,1,0,2,520,645,998,99,1,1,200,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,5,4,,,
2005,7,21,5,200,200,4,2,9,6,99,6389,2003,1,1,0,2,200,645,998,99,1,1,200,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,5,4,,,
2005,7,23,1,651,651,2,2,9,23,99,6508,6502,2,1,0,2,651,770,998,99,999,99,651,2,200,1,5,7,3,999,0,0,0,24,999,0,7,1,0,9,5,6,,,
2005,7,23,2,651,651,2,2,9,23,99,6508,6502,2,1,0,2,651,770,998,99,999,99,651,325,365,0,8,7,3,999,0,0,0,0,999,0,0,0,0,9,5,6,,,
2005,7,23,3,651,651,2,2,9,6,99,6508,6502,2,1,0,2,651,770,998,99,999,99,651,670,369,0,8,7,3,999,0,0,0,0,999,0,0,0,0,9,5,6,,,
2005,7,99,2,645,645,9,2,9,1,2,6754,9998,1,99,99,1,645,998,998,99,1,1,615,998,998,0,8,2,1,0,0,0,0,0,999,0,999,0,999,0,9,6,,,
2005,8,2,1,645,645,4,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,1,2,645,998,1,5,6,1,1,0,0,0,0,1,0,1,1,0,0,9,6,,,
2005,8,8,1,700,700,9,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,2,1,740,998,998,0,8,7,1,0,0,0,0,0,2,0,0,2,0,0,9,6,,,
2005,8,19,1,663,663,5,2,9,8,6,6508,9998,1,99,99,4,651,645,652,99,3,3,2,666,663,1,2,7,3,1,0,0,1,0,1,0,0,0,1,9,6,4,,,
2005,8,31,1,700,700,4,2,9,1,2,7010,9998,1,99,99,1,700,998,998,99,2,2,200,700,998,0,8,5,1,0,0,0,0,0,1,0,0,0,1,9,6,4,,,
2005,8,31,2,437,437,9,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,1,996,998,998,0,8,4,1,0,0,0,0,0,1,0,1,0,0,0,2,6,,,
2005,9,12,1,645,645,3,2,9,7,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,9,6,6,,,
2005,10,1,1,850,850,2,2,9,25,99,8500,9998,1,99,99,1,850,998,998,99,999,99,740,900,732,0,8,7,3,999,0,999,0,0,999,1,999,0,0,9,5,6,,,
2005,10,1,2,850,850,2,2,9,25,99,8500,9998,1,99,99,1,850,998,998,99,999,99,850,732,997,0,8,7,3,999,0,999,0,0,999,1,999,0,0,9,5,6,,,
