year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2015,1,99,1,620,620,1,2,9,1,2,6213,9998,1,99,99,1,620,998,998,99,7,1,651,998,998,0,8,7,1,0,0,0,0,0,7,0,7,0,0,0,3,6,,,
2015,1,99,2,840,840,1,2,9,1,2,8419,9998,1,99,99,1,840,998,998,99,1,1,732,998,998,0,8,7,1,0,0,0,0,0,1,0,1,0,0,0,9,6,,,
2015,1,3,1,620,620,1,2,9,1,2,6213,9998,1,15,0,1,620,998,998,99,13,1,651,998,998,0,8,7,1,0,0,0,0,0,13,0,13,0,0,0,3,6,,,
2015,1,3,2,475,475,1,2,9,8,4,4758,9998,1,99,99,1,475,998,998,99,999,3,483,436,475,0,8,4,1,0,0,0,0,0,999,0,999,0,999,0,4,6,,,
2015,1,3,3,471,471,4,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,999,1,471,998,998,0,8,7,3,10,0,0,0,0,999,0,0,0,0,9,4,6,,,
2015,1,5,1,700,700,3,2,9,24,2,7010,9998,1,1,0,1,700,998,998,99,17,2,996,700,998,0,8,4,3,16,99,0,0,0,1,1,0,0,0,9,5,6,,,
2015,1,5,2,700,700,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,1,1,995,998,998,0,8,4,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2015,1,5,3,670,670,2,2,9,25,99,6498,9998,1,4,0,9,670,999,998,99,6,1,670,998,998,0,8,3,1,3,0,0,0,3,3,4,0,0,0,0,5,6,,,
2015,1,10,1,770,770,9,2,9,11,2,7729,9998,1,99,0,2,770,700,998,99,1,1,770,998,998,0,8,3,1,0,0,0,0,0,1,0,0,0,1,0,2,6,,,
2015,1,11,1,501,501,2,2,9,8,2,5208,9998,1,99,99,1,520,998,998,99,1,1,501,998,998,0,8,7,1,0,0,0,0,0,1,0,0,0,0,0,4,6,,,
2015,1,14,1,501,501,2,2,9,21,2,5208,9998,1,5,0,1,520,998,998,99,1,1,501,998,998,0,8,3,1,0,0,0,0,0,1,5,0,0,0,1,4,6,,,
2015,1,17,1,620,620,3,2,9,8,2,6213,9998,1,99,99,1,620,998,998,99,3,2,615,620,998,0,8,2,3,3,0,0,0,0,0,0,0,0,0,1,5,6,,,
2015,1,17,2,432,432,1,2,9,24,99,9999,9999,9,99,99,9,999,999,999,99,2,2,483,996,998,0,8,4,3,1,0,1,0,1,1,0,1,0,1,1,5,6,,,
2015,1,18,1,471,471,2,2,9,1,2,4758,9998,1,99,99,1,475,998,998,99,80,1,471,998,998,0,8,7,1,0,0,0,0,0,3,0,0,0,0,0,9,6,,,
2015,1,19,1,482,482,9,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,2,220,482,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2015,1,20,1,678,678,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2015,1,20,2,482,482,2,2,9,1,3,4824,9998,1,99,99,1,482,998,998,99,2,2,646,996,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2015,1,21,1,432,432,1,2,9,5,2,4324,9998,1,99,99,1,432,998,998,99,1,1,996,998,998,0,8,4,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2015,1,22,1,520,520,2,2,9,25,2,5208,9998,1,1,0,1,520,998,998,99,7,2,640,520,998,0,8,2,3,0,0,0,0,0,6,1,0,0,0,1,5,6,,,
2015,1,26,1,645,645,5,2,9,20,99,9999,9999,9,99,99,9,999,999,999,99,1,1,699,998,998,0,8,7,2,0,0,0,0,0,0,0,0,0,0,1,4,6,,,
2015,1,27,1,620,620,2,2,9,2,99,6213,9998,1,5,0,1,620,998,998,99,20,99,2,220,300,1,5,7,3,10,0,0,0,0,10,2,5,1,0,9,5,6,,,
2015,1,28,1,660,660,2,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,2,230,996,998,0,8,4,1,0,0,0,0,0,1,0,1,0,1,0,9,6,,,
2015,1,28,2,150,150,2,2,9,1,2,1504,9998,1,99,99,1,150,998,998,99,6,2,255,150,998,0,8,7,1,0,0,0,0,0,2,0,2,0,0,0,3,6,,,
2015,1,29,1,700,700,1,2,9,8,2,7010,9998,1,1,0,1,700,998,998,99,5,2,2,700,998,4,4,5,1,1,0,1,1,0,4,1,3,3,0,0,4,6,,,
2015,1,30,1,670,670,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,1,2,998,998,2,4,5,1,1,0,1,1,0,0,0,0,0,0,0,4,6,,,
2015,2,99,1,700,700,9,2,9,1,2,7010,9998,1,99,99,1,700,998,998,99,5,2,700,2,998,1,5,7,1,0,0,0,0,0,5,0,0,0,0,0,4,6,,,
2015,2,1,1,652,652,4,2,9,6,2,6497,9998,1,99,99,1,652,998,998,99,33,2,660,652,998,0,8,7,3,24,0,24,0,0,999,0,999,0,0,9,5,6,,,
2015,2,4,1,471,471,2,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,999,1,471,998,998,0,8,7,2,999,0,0,0,0,999,0,0,0,0,0,4,6,,,
2015,2,5,1,620,620,1,2,9,1,99,6200,9998,1,99,99,1,620,998,998,99,17,99,840,436,620,0,8,7,1,0,0,0,0,0,10,0,1,0,0,0,4,6,,,
2015,2,6,1,436,436,2,2,9,8,2,4758,9998,1,98,99,1,475,998,998,99,22,1,436,998,998,0,8,4,1,17,0,0,0,17,5,99,0,0,4,0,4,5,,,
2015,2,7,1,436,436,2,2,9,8,2,4758,9998,1,99,1,1,475,998,998,99,999,1,436,998,998,0,8,7,1,0,0,0,0,0,1,0,0,0,0,0,5,5,,,
2015,2,8,1,471,471,2,2,9,1,2,4758,9998,1,99,99,1,475,998,998,99,999,1,471,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2015,2,8,2,471,471,1,2,9,1,2,4758,9998,1,99,99,1,475,998,998,99,999,1,471,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2015,2,8,3,471,471,1,2,9,1,2,4758,9998,1,99,99,1,475,998,998,99,999,1,471,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2015,2,9,1,471,471,2,2,9,16,2,4758,9998,1,99,99,1,475,998,998,99,1,1,471,998,998,0,8,7,2,0,0,0,0,0,0,0,0,0,0,9,9,6,,,
2015,2,9,2,436,436,3,2,9,23,2,4758,9998,1,99,99,1,475,998,998,99,999,1,436,998,998,0,8,1,3,999,0,0,0,999,999,0,0,0,999,9,5,6,,,
2015,2,10,1,471,471,4,2,9,1,2,4758,9998,1,99,99,1,475,998,998,99,15,1,471,998,998,0,8,7,1,0,0,0,0,0,7,0,0,0,0,0,4,6,,,
2015,2,13,1,483,483,2,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,999,2,483,475,998,0,8,7,1,999,5,999,0,0,999,2,999,0,1,0,4,6,,,
2015,2,16,1,471,471,1,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,13,1,471,998,998,0,8,3,1,8,0,0,0,8,5,0,0,0,0,0,4,6,,,
2015,2,20,1,620,620,2,2,9,24,2,6213,9998,1,99,99,1,620,998,998,99,115,2,651,620,998,0,8,7,1,70,0,0,0,0,45,0,6,0,0,0,5,6,,,
2015,2,20,2,436,436,2,2,9,8,2,4758,9998,1,99,99,1,475,998,998,99,7,1,436,998,998,0,8,3,1,0,0,0,0,0,7,14,0,0,7,0,4,5,,,
2015,2,22,1,620,620,1,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,1,1,630,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2015,2,24,1,678,678,2,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,1,1,220,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2015,2,24,2,475,475,2,2,9,1,2,4754,9998,1,5,0,1,475,998,998,99,1,1,2,998,998,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2015,2,26,1,700,700,4,2,9,24,2,7010,9998,1,1,0,1,700,998,998,99,4,2,640,700,998,0,8,2,3,1,0,1,0,1,3,1,1,0,1,9,5,6,,,
2015,2,26,2,765,765,2,2,9,11,2,7657,9998,1,99,99,1,765,998,998,99,2,2,2,765,998,1,5,6,1,1,0,0,0,0,1,0,1,1,0,0,2,6,,,
2015,2,26,3,560,560,2,2,9,20,99,3,9998,1,4,99,9,997,999,999,99,1,1,560,998,998,0,8,7,2,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2015,3,99,1,475,475,9,2,9,11,2,4754,9998,1,99,99,1,475,998,998,99,1,1,560,998,998,0,8,5,1,0,0,0,0,0,1,0,1,0,0,0,9,6,,,
2015,3,99,2,484,484,2,2,9,1,2,5006,9998,1,99,99,1,500,998,998,99,16,1,484,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2015,3,1,1,645,645,4,2,9,24,2,6498,9998,1,1,0,1,2,998,998,99,3,1,645,998,998,0,8,3,1,0,0,0,0,0,3,1,0,0,3,0,5,6,,,
2015,3,6,1,620,620,1,2,9,1,6,6213,9998,1,99,99,1,620,998,998,99,17,6,305,840,620,0,8,5,3,0,0,0,0,0,8,0,0,0,0,9,5,6,,,
