year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2003,1,5,1,666,666,2,2,9,25,99,6628,9998,1,2,0,1,667,998,998,99,130,99,666,360,369,0,8,7,3,108,0,999,0,0,24,2,8,0,0,2,5,6,,,
2003,1,5,2,200,200,1,2,9,17,99,6670,9999,9,7,0,9,667,999,999,99,999,1,200,998,998,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,7,1,,,
2003,1,9,1,770,770,1,2,9,21,4,6706,9998,1,3,0,3,770,651,678,99,2,2,770,2,998,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
2003,1,13,1,200,200,1,2,9,19,99,9999,9999,9,2,0,9,999,999,998,99,1,1,200,998,998,0,8,1,1,0,0,0,0,0,1,0,0,0,1,0,2,5,,,
2003,1,16,1,580,580,1,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2003,1,19,1,100,100,2,2,9,1,2,992,9998,1,99,99,1,100,998,998,99,3,2,2,20,998,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2003,1,21,1,100,100,4,2,9,1,3,1002,9998,1,99,99,1,100,998,998,99,3,2,2,20,998,2,5,6,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2003,1,21,2,690,690,4,2,9,11,2,6904,9998,1,1,0,1,690,998,998,99,2,1,2,998,998,2,4,5,1,1,0,1,1,0,1,0,1,1,0,0,4,6,,,
2003,1,25,1,690,690,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2003,2,99,1,70,70,1,2,9,15,2,716,9998,1,99,99,1,70,998,998,99,1,1,2,998,998,1,5,7,1,0,0,0,0,0,0,0,0,0,0,0,1,6,,,
