year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2009,1,99,1,100,100,3,2,9,6,2,1006,9998,1,99,99,1,100,998,998,99,2,2,2,100,998,1,4,5,3,0,0,0,0,0,2,0,0,0,0,9,5,6,,0,2
2009,1,15,1,840,840,9,2,9,1,3,8419,9998,1,99,99,1,840,998,998,99,3,3,225,325,840,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,0,0
2009,1,20,1,850,850,1,2,9,5,99,9999,9999,9,99,99,9,999,999,999,99,1,1,651,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,0,0
2009,1,22,1,432,432,4,2,9,1,4,6099,9998,1,99,99,1,432,998,998,99,4,3,225,255,200,0,8,4,1,0,0,0,0,0,1,0,1,0,0,0,4,6,,0,1
2009,2,2,1,770,770,4,2,9,1,3,7722,9998,1,99,99,1,770,998,998,99,2,3,996,2,770,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,9,6,,0,1
2009,2,17,1,440,440,1,2,9,8,2,4754,9998,1,16,99,1,475,998,998,99,1,1,440,998,998,0,8,1,3,0,0,0,0,0,999,99,0,0,0,9,9,5,,0,3
2009,2,18,1,350,350,3,2,9,23,2,3476,9998,1,99,99,1,350,998,998,99,2,2,2,350,998,1,4,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,0,0
2009,2,20,1,520,520,1,2,9,24,3,5208,9998,1,99,99,1,520,998,998,99,26,2,516,996,998,0,8,4,3,15,0,15,0,15,12,1,11,0,11,9,5,6,,15,11
2009,2,22,2,651,651,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,999,4,220,640,255,0,8,7,1,999,0,999,0,0,1,0,1,0,0,0,5,6,,20,1
2009,3,3,1,770,770,4,2,9,8,3,7723,9998,1,99,99,1,770,998,998,99,13,3,780,770,200,0,8,7,1,7,0,7,0,0,8,0,0,0,6,0,4,6,,7,8
2009,3,7,1,204,204,1,2,9,8,3,2052,9998,1,2,0,1,204,998,998,99,6,2,200,290,998,0,8,4,1,4,0,3,0,2,2,0,2,0,2,0,4,6,,4,2
2009,3,10,1,350,350,3,2,9,6,2,3476,9998,1,99,99,1,350,998,998,99,2,2,2,350,998,1,4,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,0,0
2009,3,12,1,625,625,2,2,9,1,4,6261,9998,1,99,99,1,625,998,998,99,5,4,20,325,220,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,0,0
2009,3,15,1,678,678,2,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,5,2,732,678,998,0,8,7,1,0,0,0,0,0,5,0,4,0,0,0,5,6,,0,5
2009,3,16,1,520,520,9,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,4,2,996,520,998,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,0,0
