year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2010,1,1,1,390,390,1,2,9,11,2,5208,9998,1,1,0,1,520,998,998,0,2,1,390,998,998,0,8,6,1,1,1,0,0,0,0,0,0,0,0,0,2,5,,,
2010,1,6,1,700,700,2,2,9,8,4,7010,9998,1,99,99,1,700,998,998,99,17,4,2,996,520,2,4,2,1,9,0,999,1,999,11,3,999,1,7,0,4,6, ,,
2010,1,8,1,540,540,4,2,9,8,2,5404,9998,1,99,99,1,540,998,998,99,12,2,461,540,998,0,8,7,1,9,0,9,0,0,3,0,2,0,0,0,4,6,,,
2010,1,8,2,700,700,3,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,6,6,,,
2010,1,8,3,475,475,1,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,2,2,475,998,1,4,5,2,0,0,0,0,0,0,0,0,0,0,9,9,6,,,
2010,1,10,1,700,700,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,9,3,2,200,700,5,2,6,1,6,0,6,5,5,3,0,2,0,1,0,5,6,,,
2010,1,10,2,700,700,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,3,2,700,255,998,0,8,7,1,0,0,0,0,0,3,0,0,0,0,0,5,6,,,
2010,1,12,1,475,475,4,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,6,4,200,100,475,0,8,5,1,1,0,0,0,0,1,0,0,0,1,0,9,6,,,
2010,1,14,1,663,663,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,999,1,666,998,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,5,6,,,
2010,1,23,1,645,645,9,2,9,1,2,6481,9998,1,99,99,1,645,998,998,99,1,1,2,998,998,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2010,1,25,1,645,645,2,2,9,25,99,6452,9998,1,99,99,1,645,998,998,99,999,99,2,997,645,1,4,6,3,999,99,999,0,999,999,99,999,0,999,9,5,6,,,
2010,1,25,2,645,645,2,2,9,25,99,6452,9998,1,99,99,1,645,998,998,99,999,99,2,997,645,1,4,6,3,999,99,999,0,999,999,99,999,0,999,9,5,6,,,
2010,1,25,3,645,645,2,2,9,24,99,6452,9998,1,4,99,1,645,998,998,99,999,99,2,997,645,1,4,6,3,999,99,999,0,999,999,99,999,0,999,9,5,6,,,
2010,1,27,1,645,645,2,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,1,630,998,998,0,8,7,1,0,0,0,0,0,2,0,2,0,0,0,4,6,,,
2010,2,10,1,475,475,1,2,9,6,2,4759,9998,1,99,99,1,475,998,998,99,1,1,210,998,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
2010,2,13,1,750,750,2,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,158,7,630,325,678,0,8,7,3,60,0,12,0,0,98,0,4,0,0,9,5,6,,,
2010,2,26,1,700,700,2,2,9,25,99,7010,9998,1,99,99,1,700,998,998,99,999,99,750,997,700,0,8,7,3,38,0,999,0,999,999,99,999,0,999,9,5,6,,,
2010,2,28,1,220,220,1,2,9,17,2,2301,9998,1,3,0,1,235,998,998,3,1,1,235,998,998,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2010,3,99,1,700,700,3,2,9,25,99,9999,9999,9,2,0,9,999,999,998,99,2,2,2,700,998,1,4,5,1,1,0,0,0,0,2,2,0,0,0,0,5,5,,,
2010,3,99,2,700,700,4,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,3,2,2,700,998,1,4,5,2,0,0,0,0,0,3,0,0,0,0,0,4,6,,,
2010,3,99,3,770,770,2,2,9,1,2,7724,9998,1,99,99,1,770,998,998,99,5,2,200,770,998,0,8,6,1,0,0,0,0,0,1,0,0,0,0,0,9,6,,,
2010,3,10,1,770,770,3,2,9,8,2,7700,9998,1,99,99,1,770,998,998,99,6,2,2,770,998,1,5,7,3,0,0,0,0,0,6,0,0,0,0,1,5,6,,,
