year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2012,1,99,1,615,615,6,2,9,17,3,6099,9998,1,3,99,1,615,998,998,99,2,2,2,300,998,1,9,9,3,0,0,0,0,0,0,0,0,0,0,0,6,1,,,
2012,1,99,2,800,800,2,2,9,17,4,9999,9998,1,1,0,2,660,380,998,99,999,1,997,998,998,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2012,1,5,1,770,770,2,2,9,1,2,7725,9998,1,99,99,1,770,998,998,99,1,1,200,998,998,0,8,7,1,0,0,0,0,0,1,0,1,0,0,0,9,6,,,
2012,1,11,1,501,501,9,2,9,1,2,5208,9998,1,99,99,1,520,998,998,99,999,1,501,998,998,0,8,7,1,0,0,0,0,0,6,0,0,0,4,0,9,6,,,
2012,1,16,1,678,678,9,2,9,1,2,6809,9998,1,99,99,1,678,998,998,99,1,1,385,998,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,1,16,1,475,475,9,2,9,11,2,4758,9998,1,99,99,1,475,998,998,99,3,1,483,998,998,0,8,7,1,0,0,0,0,0,3,0,3,0,0,0,9,6,,,
2012,1,17,1,530,530,2,2,9,1,7,5315,9998,1,99,99,1,531,998,998,99,22,6,255,310,211,0,8,7,1,2,0,2,0,0,5,0,5,0,0,0,4,6,,,
2012,1,19,1,520,520,3,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,996,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,5,6,,,
2012,1,19,2,770,770,1,2,9,1,3,7700,9998,1,99,99,1,770,998,998,99,2,2,255,325,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,1,20,1,475,475,2,2,9,1,2,4759,9998,1,99,99,1,475,998,998,99,2,2,2,475,998,1,4,5,1,0,0,0,0,0,1,0,0,0,0,0,4,6,,,
2012,1,20,2,700,700,1,2,9,11,2,3,9998,1,1,0,1,700,998,998,99,19,1,220,998,998,0,8,4,1,14,0,14,0,14,5,0,5,0,5,0,4,6,,,
2012,1,21,1,520,520,4,2,9,1,2,5207,9998,1,99,99,1,520,998,998,99,2,2,2,520,998,1,4,5,1,1,0,0,0,0,0,0,0,0,0,0,4,6,,,
2012,1,21,2,625,625,2,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,4,1,996,998,998,0,8,4,1,3,0,3,0,3,1,0,1,0,1,0,4,6,,,
2012,1,24,1,520,520,1,2,9,23,2,5208,9998,1,99,99,1,520,998,998,99,999,1,530,998,998,0,8,4,1,0,0,0,0,0,999,0,999,0,999,0,5,6,,,
2012,1,26,1,700,700,3,2,9,24,99,9999,9998,1,99,99,1,999,998,998,99,34,99,995,700,999,0,8,4,3,31,0,999,0,999,4,1,999,0,999,9,5,6,,,
2012,1,27,1,475,475,9,2,9,1,3,6099,9998,1,99,99,1,615,998,998,99,1,1,255,998,998,0,8,7,1,0,0,0,0,0,5,4,4,0,0,0,9,6,,,
2012,1,28,1,625,625,9,2,9,1,2,6989,9998,1,99,99,1,625,998,998,99,47,1,710,998,998,0,8,5,1,0,0,0,0,0,1,0,1,0,0,0,4,6,,,
2012,1,31,1,651,651,2,2,9,1,2,6515,9998,1,99,99,1,651,998,998,99,25,2,710,651,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,1,31,2,678,678,9,2,9,1,5,6781,9998,1,99,99,1,678,998,998,99,6,5,255,100,645,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,2,1,1,840,840,9,2,9,1,3,8419,9998,1,99,99,1,840,998,998,99,2,2,210,225,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,2,3,1,651,651,4,2,9,1,2,6515,9998,1,8,99,1,651,998,998,99,2,1,2,998,998,2,5,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,2,5,1,475,475,1,2,9,19,2,4756,9998,1,99,99,1,475,998,998,99,1,1,325,998,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,3,9,6,,,
2012,2,13,1,750,750,4,2,9,6,3,9999,9998,1,1,99,1,630,998,998,99,4,2,666,750,998,0,8,2,3,4,0,1,0,1,0,0,0,0,0,1,5,6,,,
2012,2,13,2,371,371,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,1,1,666,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,5,5,,,
2012,2,14,1,800,800,2,2,9,6,2,6301,9998,1,1,0,1,630,998,998,99,4,1,800,998,998,0,8,7,1,5,1,0,0,0,0,0,0,0,0,0,5,4,,,
2012,2,17,1,2,2,3,2,9,25,2,3,9998,1,1,0,1,600,998,998,99,1,1,2,998,998,1,3,1,3,0,0,0,0,0,0,0,0,0,0,0,5,2,,,
2012,3,99,1,678,678,9,2,9,1,2,6802,9998,1,99,99,1,678,998,998,99,1,1,225,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,3,99,2,678,678,9,2,9,1,2,6802,9998,1,99,99,1,678,998,998,99,3,1,840,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,3,99,3,670,670,2,2,9,8,2,6988,9998,1,99,99,1,670,998,998,99,2,1,200,998,998,0,8,6,1,1,0,1,0,0,1,0,1,0,0,0,9,6,,,
2012,3,99,4,670,670,1,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,4,5,1,0,0,0,0,0,1,0,1,1,0,0,9,6,,,
2012,3,99,5,670,670,1,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,4,5,1,0,0,0,0,0,1,0,1,1,0,0,9,6,,,
2012,3,1,1,700,700,1,2,9,11,2,7012,9998,1,2,0,1,700,998,998,99,3,1,2,998,998,3,2,4,1,1,0,1,1,1,4,2,2,2,2,0,4,6,,,
2012,3,1,2,678,678,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,2,998,998,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2012,3,10,1,501,501,8,2,9,8,2,5208,9998,1,99,99,1,520,998,998,99,44,1,501,998,998,0,8,7,1,40,0,0,0,0,4,0,0,0,0,0,5,6,,,
2012,3,11,1,220,220,4,2,9,11,2,2250,9998,1,1,0,1,220,998,998,99,1,1,997,998,998,0,8,3,1,0,0,0,0,0,1,0,0,0,1,0,3,6,,,
2012,3,14,1,700,700,1,2,9,23,2,7012,9998,1,1,0,1,700,998,998,99,2,2,2,200,998,1,1,4,1,999,99,1,0,1,999,99,0,0,0,0,5,4,,,
2012,3,16,1,220,220,2,2,9,11,3,2250,9998,1,1,0,1,220,998,998,1,3,3,997,997,997,0,8,3,1,1,0,1,0,1,2,0,2,0,2,0,3,6,,,
2012,3,18,1,678,678,4,2,9,11,2,6802,9998,1,2,99,1,678,998,998,99,1,1,2,998,998,1,5,7,1,0,0,0,0,0,1,0,1,1,0,0,9,6,,,
2012,3,19,1,220,220,2,2,9,11,2,2250,9998,1,1,0,1,220,998,998,99,10,2,220,666,998,0,8,7,1,6,0,0,0,0,4,0,4,0,0,0,3,6,,,
2012,3,28,1,678,678,4,2,9,1,99,6706,9998,1,99,99,9,999,999,999,99,1,1,670,998,998,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,3,28,2,770,770,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,2,1,996,998,998,0,8,4,1,1,0,0,0,1,1,0,0,0,1,0,9,6,,,
2012,3,31,1,800,800,2,2,9,6,2,8007,9998,1,99,99,1,800,998,998,99,999,2,820,800,998,0,8,7,3,400,0,0,0,0,999,0,1,0,0,9,5,6,,,
2012,3,31,2,670,670,9,2,9,1,2,6802,9998,1,99,99,1,670,998,998,99,1,1,2,998,998,1,4,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,4,99,1,432,432,9,2,9,1,3,6099,9998,1,99,99,2,615,432,998,99,1,1,225,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,4,5,1,432,432,9,2,9,1,2,4321,9998,1,99,99,1,615,998,998,99,7,1,615,998,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2012,4,6,1,620,620,1,2,9,8,2,6200,9998,1,2,0,1,620,998,998,99,1,1,2,998,998,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2012,4,9,1,651,651,1,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,3,3,666,663,651,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2012,4,9,2,135,135,1,2,9,1,2,1356,9998,1,99,99,1,135,998,998,99,999,2,380,135,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2012,4,15,1,700,700,3,2,9,8,3,7725,9998,1,99,99,1,770,998,998,99,1,1,995,998,998,0,8,4,3,999,99,0,0,0,999,99,0,0,999,9,6,6,,,
2012,4,15,2,700,700,3,2,9,8,3,7725,9998,1,99,99,1,770,998,998,99,1,1,365,998,998,0,8,4,3,999,99,0,0,0,999,99,0,0,999,9,6,6,,,
