year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2013,1,99,1,100,100,9,2,9,1,2,1002,9998,1,99,99,1,100,998,998,99,1,1,20,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,1,3,1,625,625,9,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,1,996,998,998,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,1,7,1,700,700,1,2,9,8,2,7010,9998,1,1,0,1,700,998,998,99,7,2,200,995,998,0,8,4,1,6,0,6,0,6,1,1,1,0,1,0,4,5,,,
2013,1,9,1,220,220,3,2,9,11,3,6400,9998,1,1,0,1,640,998,998,99,3,1,646,998,998,0,8,6,1,0,0,0,0,0,3,0,3,0,0,0,3,6,,,
2013,1,12,1,625,625,2,2,9,1,2,6250,9998,1,99,99,1,625,998,998,99,999,2,710,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,1,12,2,620,620,4,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,325,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,9,5,,,
2013,1,15,1,350,350,2,2,9,11,99,9999,9999,9,2,0,9,999,999,998,99,1,1,770,998,998,0,8,7,1,0,0,0,0,0,1,0,1,0,0,0,2,6,,,
2013,1,16,1,615,615,1,2,9,2,22,6148,9998,1,99,0,9,615,616,620,99,999,15,385,200,2,999,4,5,3,999,99,999,999,999,999,99,999,3,999,9,4,6,,,
2013,1,18,1,100,100,1,2,9,1,3,1002,9998,1,99,99,1,100,998,998,99,5,3,202,135,100,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,1,23,1,645,645,2,2,9,25,99,9999,9998,1,99,99,1,999,998,998,99,152,2,377,645,998,0,8,2,1,17,0,999,0,999,36,1,999,0,999,0,5,6,,,
2013,2,99,1,652,652,2,2,9,1,7,6670,9998,1,99,99,4,645,670,663,99,1,2,20,996,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,4,,,
2013,2,1,1,640,640,3,2,9,25,3,6385,9998,1,1,0,1,646,998,998,99,3,2,2,640,998,1,1,2,3,0,0,0,0,0,2,1,0,0,1,9,5,6,,,
2013,2,4,1,100,100,2,2,9,1,2,1002,9998,1,99,99,1,100,998,998,99,2,1,255,998,998,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,2,9,1,475,475,1,2,9,1,11,4758,9998,1,99,99,1,475,998,998,99,3,1,731,998,998,0,8,7,1,0,0,0,0,0,3,0,3,0,0,0,2,6,,,
2013,2,9,2,645,645,1,2,9,8,2,6444,9998,1,99,99,1,645,998,998,99,999,1,630,998,998,0,8,7,1,999,0,999,0,0,7,0,7,0,0,0,6,6,,,
2013,2,11,1,652,652,2,2,9,23,2,9999,9999,9,99,99,2,652,640,998,99,4,2,652,640,998,0,8,7,1,28,0,999,0,0,12,0,4,0,0,0,5,6,,,
2013,3,16,1,475,475,1,2,9,1,5,4750,9998,1,99,99,1,475,998,998,99,8,5,660,200,350,0,8,5,1,0,0,0,0,0,8,0,7,0,0,0,4,6,,,
2013,2,19,1,471,475,2,2,9,1,3,4758,9998,1,99,99,1,475,998,998,99,7,1,220,998,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2013,2,21,1,652,652,2,2,9,99,23,9999,9999,9,99,99,9,999,999,999,99,999,2,365,365,998,0,8,2,3,999,0,999,0,999,59,0,999,0,999,9,5,6,,,
2013,3,99,1,770,770,4,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,2,1,315,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,3,4,1,645,645,4,2,9,8,2,6759,9998,1,99,99,1,652,998,998,99,65,2,652,645,998,0,8,4,1,0,0,0,0,0,65,0,51,0,65,0,6,6,,,
2013,3,6,1,652,652,2,2,9,1,3,6535,9998,1,99,99,1,652,998,998,99,21,2,840,996,998,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2013,3,8,1,700,700,9,2,9,11,99,9999,9999,9,99,99,9,999,999,999,99,1,1,996,998,998,0,8,4,1,0,0,0,0,0,1,0,1,0,1,0,4,6,,,
2013,3,11,1,700,700,2,2,9,8,2,9999,9998,1,1,0,1,700,998,998,99,999,2,2,700,998,12,2,4,1,999,0,12,12,999,10,1,2,2,7,0,4,5,,,
2013,3,26,1,530,530,2,2,9,1,4,5208,9998,1,8,99,1,520,998,998,99,999,2,996,997,998,0,8,2,1,0,0,0,0,0,0,0,0,0,0,0,9,1,,,
2013,3,26,2,620,620,2,2,9,1,2,6200,9998,1,99,99,1,620,998,998,99,5,1,200,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2013,3,27,1,700,700,2,2,9,11,2,7010,9998,1,1,0,1,700,998,998,99,1,1,2,998,998,1,2,4,1,0,0,0,0,0,1,0,1,1,1,0,1,6,,,
2013,4,99,1,200,200,2,2,9,11,2,3692,9998,1,1,0,1,369,998,998,99,1,1,200,998,998,0,8,7,1,0,0,0,0,0,1,0,0,0,0,0,1,6,,,
2013,4,6,1,700,700,2,2,9,23,2,7010,9998,1,1,0,1,700,998,998,99,999,2,2,700,998,9,2,4,3,999,0,4,4,4,8,0,5,5,5,9,5,6,,,
