year,month,dat,incident_code,Loc_start,loc_end,scene_incident,evidence_state_sponsor,type_state_sponsor,type_incident,total_nationalities,first_group_initiate,second_group_initiate,number_groups_involved,number_terrorists,number_female_terrorists,number_nationalities,first_nationality_terrorists,second_nationality_terrorists,third_nationality_terrorists,recidivists_present,number_victims,num_nationalities_victims,first_nationality_victim,second_nationality_victim,third_nationality_victim,num_us_victims,type_us_victims,type_imm_victims,nature_victim,wounded,terr_wounded,foreign_wounded,us_wounded,gov_wounded,killed,terr_killed,foreign_killed,us_killed,gov_killed,damage,weapon,logistical_success,,Greatest Number of Individuals Wounded,Greatest Number of Individuals Killed
2011,1,1,1,651,651,2,2,9,24,2,6709,9998,1,1,99,1,667,998,998,99,110,1,651,998,998,0,8,7,3,97,0,0,0,4,24,1,0,0,0,9,5,6,,,
2011,1,5,1,385,640,5,2,9,9,99,3,9998,1,0,1,1,640,998,998,99,999,99,385,640,999,0,8,7,3,0,0,0,0,0,0,0,0,0,0,0,1,5,,,
2011,1,7,1,436,436,2,2,9,1,3,6099,9998,1,99,99,1,615,998,998,99,1,1,220,998,998,0,8,7,1,0,0,0,0,0,2,0,2,0,0,0,9,6,,,
2011,1,16,1,770,770,4,2,9,5,2,7700,9998,1,99,99,1,770,998,998,99,1,1,995,998,998,0,8,4,3,1,0,0,0,0,0,0,0,0,0,3,5,6,,,
2011,1,24,1,365,365,8,2,9,25,6,3681,9998,1,1,0,1,368,998,998,99,999,5,365,200,220,0,8,7,3,999,0,999,0,0,36,1,8,0,0,9,5,6,,,
2011,1,28,1,700,700,2,2,9,25,99,7010,9998,1,1,0,1,700,998,998,99,14,99,997,700,999,0,8,7,1,6,0,999,0,0,9,1,3,0,0,0,5,6,,,
2011,2,1,1,435,435,4,2,9,21,99,6667,9998,1,3,99,9,667,999,999,99,999,1,220,435,998,0,8,4,1,0,0,0,0,0,3,3,0,0,0,0,5,2,,,
2011,2,5,1,651,651,1,2,9,8,99,6515,9998,1,99,99,9,999,999,999,99,3,3,666,663,651,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,9,6,,,
2011,2,23,1,2,2,9,2,9,17,2,3,9998,1,1,0,1,670,998,998,99,999,1,2,998,998,999,3,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2011,2,27,1,700,700,9,2,9,1,2,7010,9998,1,99,99,1,700,998,998,99,1,1,20,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,4,6,,,
2011,3,2,1,255,255,4,2,9,11,3,3,9998,1,1,0,1,344,998,998,99,5,1,2,998,998,5,2,4,1,2,0,2,2,2,3,0,3,3,3,0,3,5,,,
2011,3,15,1,850,850,3,2,9,4,99,9999,9999,9,99,99,9,999,999,999,99,4,2,2,850,998,1,5,6,1,4,0,0,0,0,0,0,0,0,0,0,5,5,,,
2011,3,27,1,651,651,1,2,9,6,99,6515,9998,9,99,99,9,651,998,998,99,3,3,666,663,651,0,8,5,2,0,0,0,0,0,0,0,0,0,0,0,5,4,,,
2011,4,6,1,770,770,4,2,9,8,99,9999,9999,9,4,99,9,999,999,999,99,2,2,995,2,998,1,2,4,2,0,0,0,0,0,0,0,0,0,0,2,5,6,,,
2011,4,13,1,668,668,9,2,9,1,2,6249,9998,1,99,99,1,667,998,998,99,1,1,325,998,998,0,8,6,1,0,0,0,0,0,1,0,1,0,0,0,9,6,,,
2011,4,18,1,700,700,1,2,9,1,99,9999,9999,9,99,99,9,999,999,999,99,999,2,630,700,998,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2011,4,27,1,651,651,1,2,9,6,5,6515,9998,1,99,99,1,651,998,998,99,5,5,666,663,651,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2011,4,28,1,600,600,2,2,9,6,99,6667,9998,1,99,99,1,600,998,998,99,41,99,200,20,365,0,8,7,3,25,0,999,0,0,16,0,10,0,0,9,5,6,,,
2011,4,29,1,255,255,9,2,9,17,2,6667,9998,1,3,99,1,600,998,998,99,1,1,255,998,998,0,8,9,9,0,0,0,0,0,0,0,0,0,0,0,9,1,,,
2011,5,99,1,770,770,3,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,1,1,670,998,998,0,8,2,2,0,0,0,0,0,0,0,0,0,0,1,5,6,,,
2011,5,12,1,2,2,2,2,9,17,2,3,9998,1,2,0,2,615,2,998,99,1,1,2,998,998,1,5,7,3,0,0,0,0,0,0,0,0,0,0,0,5,1,,,
2011,5,16,1,770,770,4,2,9,11,99,9999,9999,9,2,0,9,999,999,998,99,1,1,670,998,998,0,8,2,1,0,0,0,0,0,1,0,1,0,1,0,3,6,,,
2011,5,20,1,770,770,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,9,1,995,998,998,0,8,4,2,0,0,0,0,0,0,0,0,0,0,3,5,6,,,
2011,5,20,2,770,770,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,17,2,995,770,998,0,8,4,3,0,0,0,0,0,16,0,0,0,0,3,5,6,,,
2011,5,22,1,770,770,1,2,9,8,99,9999,9999,9,99,99,9,999,999,999,99,999,2,710,770,998,0,8,5,1,0,0,0,0,0,10,0,0,0,10,0,9,6,,,
2011,5,25,1,2,2,9,2,9,17,99,3,9998,1,2,0,1,645,998,998,99,999,2,2,997,998,999,9,9,3,0,0,0,0,0,0,0,0,0,0,0,6,1,,,
2011,5,27,1,660,660,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,6,2,325,996,998,0,8,4,3,6,0,6,0,6,0,0,0,0,0,9,5,6,,,
2011,5,28,1,700,700,3,2,9,25,3,7010,9998,1,1,0,1,700,998,998,99,14,3,255,995,700,0,8,4,3,10,0,999,0,10,5,1,2,0,0,9,5,6,,,
2011,5,28,2,678,678,2,2,9,1,2,6802,9998,1,99,99,1,678,998,998,99,3,1,220,998,998,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,9,6,,,
2011,5,30,1,520,520,1,2,9,23,3,5208,9999,1,5,0,2,520,2,999,99,3,2,996,520,998,0,8,4,1,5,0,5,0,5,7,4,2,0,2,0,5,5,,,
2011,5,31,1,211,211,2,2,9,4,99,9999,9999,9,99,99,9,999,999,999,99,3,2,211,380,998,0,8,5,3,2,0,0,0,0,0,0,0,0,0,9,5,6,,,
2011,5,31,2,220,220,2,2,9,4,99,9999,9999,9,99,99,9,999,999,999,99,2,2,220,380,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2011,5,31,3,210,210,2,2,9,4,99,9999,9999,9,99,99,9,999,999,999,99,2,2,210,380,998,0,8,5,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2011,6,1,1,620,620,2,2,9,23,99,9999,9999,9,99,99,9,999,999,999,99,999,99,2,694,997,1,1,2,2,0,0,0,0,0,0,0,0,0,0,9,5,6,,,
2011,6,7,1,770,770,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,5,2,995,770,998,0,8,4,2,0,0,0,0,0,0,0,0,0,0,3,5,6,,,
2011,6,23,1,645,645,4,2,9,6,99,9999,9999,9,99,99,9,999,999,999,99,4,2,2,645,998,2,1,2,3,3,0,1,1,1,1,0,1,1,1,9,5,6,,,
